Location, Open, Close, Days, Address, Email, Cafe, Floors
"Nottingham", 7, 20, "1111110", "7 King's Road, City Centre, Nottingham, NG1RA", "nottingham@blacksmiths.co.uk", 1, 3
"London",6,22,"1111111","42 Charing Cross Road, West End, London, WC2H 0AB","london@blacksmiths.co.uk",1,5
"Manchester",8,19,"1111100","89 Deansgate, City Centre, Manchester, M3 2BW","manchester@blacksmiths.co.uk",1,4
"Edinburgh",9,18,"1111110","156 Royal Mile, Old Town, Edinburgh, EH8 8DU","edinburgh@blacksmiths.co.uk",0,2
"Birmingham",7,21,"1111110","203 Corporation Street, City Centre, Birmingham, B4 6SG","birmingham@blacksmiths.co.uk",1,3
"Bristol",8,20,"1111110","72 Broad Street, City Centre, Bristol, BS1 2EL","bristol@blacksmiths.co.uk",1,2
"Leeds",7,19,"1111100","15 Briggate, City Centre, Leeds, LS1 6AY","leeds@blacksmiths.co.uk",0,3
"Glasgow",9,17,"1110111","298 Sauchiehall Street, City Centre, Glasgow, G2 3EQ","glasgow@blacksmiths.co.uk",1,2
"Cardiff",8,18,"1111100","35 High Street, City Centre, Cardiff, CF10 1PG","cardiff@blacksmiths.co.uk",0,2
"Oxford",10,17,"1110110","54 Broad Street, University Area, Oxford, OX1 3BA","oxford@blacksmiths.co.uk",1,2
"Cambridge",9,18,"1110110","23 King's Parade, City Centre, Cambridge, CB2 1SJ","cambridge@blacksmiths.co.uk",1,2
"Bath",8,19,"1111110","11 Milsom Street, City Centre, Bath, BA1 1DA","bath@blacksmiths.co.uk",0,2
"York",7,18,"1110111","88 Stonegate, Medieval Quarter, York, YO1 8AY","york@blacksmiths.co.uk",1,2
"Liverpool",6,20,"1111110","124 Bold Street, City Centre, Liverpool, L1 4DQ","liverpool@blacksmiths.co.uk",1,3
"Newcastle",7,19,"1111100","67 Grey's Monument, City Centre, Newcastle, NE1 6EF","newcastle@blacksmiths.co.uk",1,2
"Brighton",9,21,"1111111","47 The Lanes, City Centre, Brighton, BN1 1EL","brighton@blacksmiths.co.uk",1,2
"Sheffield",8,18,"1111100","102 Fargate, City Centre, Sheffield, S1 2DA","sheffield@blacksmiths.co.uk",0,2
"Belfast",7,17,"1111100","9 Donegall Place, City Centre, Belfast, BT1 5GB","belfast@blacksmiths.co.uk",0,2
"Dublin",8,20,"1111111","17 Grafton Street, City Centre, Dublin, D02 AF23","dublin@blacksmiths.ie",1,4
"Portsmouth",6,19,"1111110","84 The Hard, Waterfront, Portsmouth, PO1 3PA","portsmouth@blacksmiths.co.uk",0,2
