PROMPT, INTENT
"hello","small"
"hi","small"
"how's the weather today?","small"
"tell me a joke","small"
"what's your favorite movie?","small"
"do you like music?","small"
"what's up?","small"
"i feel sad","small"
"i am sad","small"
"i am upset","small"
"i am upset when people call me names","small"
"when people call me names i feel sad","small"
"how are you feeling?","small"
"any fun facts?","small"
"what do you think about AI?","small"
"can we chat about movies?","small"
"what's your favorite food?","small"
"hey there","small"
"good morning","small"
"good afternoon","small"
"good evening","small"
"howdy","small"
"yo","small"
"what's going on?","small"
"how's it going?","small"
"nice weather today","small"
"it's raining outside","small"
"lovely day isn't it","small"
"I'm having a bad day","small"
"I'm feeling down","small"
"I'm happy today","small"
"I'm excited","small"
"I'm bored","small"
"I'm tired","small"
"tell me something interesting","small"
"do you have a favorite book?","small"
"what do you think about cats?","small"
"do you like dogs?","small"
"what's your opinion on coffee?","small"
"do you drink tea?","small"
"what's your hobby?","small"
"do you have any pets?","small"
"where are you from?","small"
"how old are you?","small"
"are you a robot?","small"
"are you real?","small"
"can you think?","small"
"do you have feelings?","small"
"my boss is being difficult","small"
"work is stressful","small"
"I had a rough day at work","small"
"my colleagues don't understand me","small"
"I feel worthless sometimes","small"
"when I get criticized it hurts","small"
"I feel inadequate","small"
"people at work make me feel bad","small"
"when someone yells at me I feel terrible","small"
"I feel anxious about work","small"
"my job makes me unhappy","small"
"I'm stressed about deadlines","small"
"I feel underappreciated","small"
"nobody values my work","small"
"I got told off at work today","small"
"my manager criticized me","small"
"I feel like a failure","small"
"work is overwhelming","small"
"I'm struggling with my job","small"
"I feel lonely","small"
"I'm worried about things","small"
"everything feels pointless","small"
"I don't feel good enough","small"
"I'm having relationship problems","small"
"my family doesn't understand","small"
"I feel misunderstood","small"
"nobody listens to me","small"
"I feel isolated","small"
"life is hard right now","small"
"I'm going through a tough time","small"
"thank you","thank"
"thanks","thank"
"cheers","thank"
"thank you very much","thank"
"thanks a lot","thank"
"thank you so much","thank"
"I appreciate it","thank"
"much appreciated","thank"
"thanks for your help","thank"
"thank you for the assistance","thank"
"that's helpful, thanks","thank"
"appreciate your help","thank"
"thanks for that","thank"
"cheers mate","thank"
"ta","thank"
"thank you kindly","thank"
"many thanks","thank"
"thanks again","thank"
"grateful for your help","thank"
"you've been very helpful","thank"
"How do I use you?","discover"
"What functions can you perform?","discover"
"what can you do?","discover"
"list your features","discover"
"how do I use this chat?","discover"
"What services are available?","discover"
"tell me about your capabilities","discover"
"what can I ask you?","discover"
"show me examples of commands","discover"
"what topics can you help with?","discover"
"explain how this works","discover"
"what kind of answers do you give?","discover"
"how can you help me?","discover"
"what are you capable of?","discover"
"what can you assist with?","discover"
"tell me what you can do","discover"
"show me your features","discover"
"what kind of chatbot are you?","discover"
"what's your purpose?","discover"
"how can I use this service?","discover"
"what tasks can you perform?","discover"
"what information can you provide?","discover"
"can you help me with orders?","discover"
"what questions can I ask?","discover"
"give me examples of what to ask","discover"
"how does this bot work?","discover"
"what are your functions?","discover"
"tell me about this bookstore","discover"
"what's my name?","identity"
"do you remember my name?","identity"
"forget me","identity"
"forget my data","identity"
"delete my data","identity"
"please delete any information about me","identity"
"call me Joel","identity"
"my name is Joel","identity"
"who am I?","identity"
"what did I tell you earlier?","identity"
"remind me what I said my name was","identity"
"call me John","identity"
"my name is Jake","identity"
"can you store my preferences?","identity"
"do you know my nickname?","identity"
"what do you call me?","identity"
"I'm Sarah","identity"
"you can call me Mike","identity"
"my name's Alice","identity"
"remember my name is Tom","identity"
"save my name as Emily","identity"
"I go by Chris","identity"
"please call me Alex","identity"
"my name is David","identity"
"I am Rachel","identity"
"call me Sam","identity"
"you can address me as Jordan","identity"
"please remember I'm Taylor","identity"
"what name do you have for me?","identity"
"do you know who I am?","identity"
"have we met before?","identity"
"do you remember me?","identity"
"what information do you have about me?","identity"
"erase my information","identity"
"remove my data","identity"
"delete everything about me","identity"
"forget everything I told you","identity"
"clear my data","identity"
"reset my information","identity"
"When are you open?","opening"
"What are your opening hours?","opening"
"What time do you open?","opening"
"What time do you close?","opening"
"Are you open right now?","opening"
"What days are you open?","opening"
"Do you open on Sundays?","opening"
"Are you open on weekends?","opening"
"What are the opening hours for the London store?","opening"
"When does the Manchester location open?","opening"
"Is the Edinburgh store open today?","opening"
"What time does the Birmingham location close?","opening"
"How late are you open?","opening"
"What's your opening time?","opening"
"Do you have weekend hours?","opening"
"When is the nearest store open?","opening"
"Are you open on Monday?","opening"
"What are your hours of operation?","opening"
"Tell me the opening hours for Bristol","opening"
"Is the Oxford location open on Saturdays?","opening"
"When can I visit the Cambridge store?","opening"
"What time does Bath close on weekdays?","opening"
"Are you open late on Friday?","opening"
"What's the earliest you open?","opening"
"When do you close on weekends?","opening"
"Tell me about opening times for all locations","opening"
"Which stores are open today?","opening"
"Is there a store open right now near me?","opening"
"What are Saturday opening hours?","opening"
"Do you open before 10am?","opening"
"Are you open past 8pm?","opening"
"When is the Glasgow location open?","opening"
"Tell me the hours for Leeds","opening"
"What time can I visit Newcastle?","opening"
"Is Sheffield open on Sundays?","opening"
"When is Belfast open?","opening"
"What are the Dublin store hours?","opening"
"Tell me when Portsmouth opens","opening"
"Are there any late night openings?","opening"
"What's the operating schedule?","opening"
"Can I check store hours for Liverpool?","opening"
